,Reference,Dates,Page_Views
566,61397,2019-03-12,0.0
567,61397,2019-03-13,0.0
568,61397,2019-03-14,0.0
569,61397,2019-03-15,0.0
184,61397,2019-03-16,9.0
185,61397,2019-03-17,19.0
186,61397,2019-03-18,9.0
570,61397,2019-03-19,0.0
187,61397,2019-03-20,9.0
571,61397,2019-03-21,0.0
572,61397,2019-03-22,0.0
573,61397,2019-03-23,0.0
574,61397,2019-03-24,0.0
575,61397,2019-03-25,0.0
188,61397,2019-03-26,28.0
189,61397,2019-03-27,19.0
190,61397,2019-03-28,9.0
191,61397,2019-03-29,9.0
192,61397,2019-03-30,9.0
193,61397,2019-03-31,9.0
