Conversiones;Valor de las conversiones;Path_1;Path_2;Path_3;Path_4;Path_5;Path_6;Path_7;Path_8;Path_9;Path_10;Path_11;Path_12;Path_13;Path_14;Path_15;Path_16;Path_17;Path_18;Path_19;Path_20;Path_21;Path_22;Path_23;Path_24;Path_25;Path_26;Path_27;Path_28;Path_29;Path_30;Path_31;Path_32;Path_33;Path_34;Path_35;Path_36;Path_37;Path_38;Path_39;Path_40;Path_41;Path_42;Path_43;Path_44;Path_45;Path_46;Path_47;Path_48;Path_49;Path_50;Path_51;Path_52;Path_53;Path_54;Path_55;Path_56;Path_57;Path_58;Path_59;Path_60;Path_61;Path_62;Path_63;Path_64;Path_65;Path_66;Path_67;Path_68;Path_69;Path_70;Path_71;Path_72;Path_73;Path_74
6;37,50 €;google / cpc ; (direct) / (none) ; google / organic ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;307,30 €;google / cpc ; (direct) / (none) ; google / organic ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;71,60 €;google / cpc ; google / organic ; google / cpc ; google / organic ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;327,30 €;google / cpc ; google / organic ; google / cpc ; google / organic ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;406,80 €;google / cpc ; google / organic ; (direct) / (none) ; (direct) / (none) ; criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;176,10 €;google / cpc ; google / organic ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;64,40 €;google / cpc ; facebook.com / referral ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;99,90 €;criteo / retargeting ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;84,30 €;Facebook / PaidSocial ; l.instagram.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;37,40 €;Facebook / PaidSocial ; criteo / banner ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;64,80 €;criteo / banner ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;198,50 €;(direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
