Fuente/medio;Conversiones;Valor de las conversiones
google / cpc > google / cpc > criteo / banner > google / cpc > google / cpc > (direct) / (none);4;116,60 €
google / cpc > google / cpc > criteo / banner > google / cpc > criteo / banner;4;40,40 €
google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc;4;50,90 €
google / cpc > google / cpc > (direct) / (none) > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc > (direct) / (none);4;94,50 €
google / cpc > google / cpc > (direct) / (none) > google / cpc > (direct) / (none) > google / cpc;4;84,15 €
google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc;4;68,90 €
google / cpc > google / cpc > lolaterecomienda / home;4;0,00 €
google / cpc > criteo / banner > google / cpc > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none);4;15,10 €
google / cpc > (direct) / (none) > google / cpc > google / cpc > (direct) / (none);4;165,60 €
google / cpc > (direct) / (none) > google / cpc > google / cpc > (direct) / (none) > outlook.live.com / referral > (direct) / (none);4;713,10 €
google / cpc > (direct) / (none) > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);4;208,00 €
google / cpc > (direct) / (none) > (direct) / (none) > google / cpc > google / cpc > google / cpc > (direct) / (none);4;45,00 €
google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc;4;14,90 €
google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);4;0,00 €
google / cpc > (direct) / (none) > google / organic > google / cpc > google / cpc;4;46,80 €
google / cpc > google / organic > google / cpc > google / cpc > google / cpc > google / cpc;4;22,20 €
google / cpc > google / organic > google / cpc > criteo / banner;4;55,90 €
google / cpc > google / organic > (direct) / (none) > google / cpc > google / cpc;4;31,80 €
google / cpc > google / organic > (direct) / (none) > criteo / banner;4;14,90 €
criteo / retargeting > (direct) / (none) > criteo / banner > (direct) / (none);4;181,90 €
Facebook / PaidSocial > Facebook / PaidSocial;4;0,00 €
Facebook / PaidSocial > (direct) / (none) > criteo / banner;4;35,70 €
Universal LDK / email > Universal LDK / email > Universal LDK / email > Universal LDK / email > Universal LDK / email > Universal LDK / email;4;239,80 €
