,Reference,CatN1,CatN2,Date,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads
3963,51148,muebles,"consolas, recibidores y tocadores",2018-10-30,200,0.15,313,3,0.44,0.0,0.0,0.0,0.0,0.0
3964,51148,muebles,"consolas, recibidores y tocadores",2018-10-05,200,0.16,557,4,0.65,0.0,0.0,0.0,0.0,0.0
3965,51148,muebles,"consolas, recibidores y tocadores",2018-11-05,200,0.09,564,6,0.54,0.0,1.0,0.0,0.0,0.0
3966,51148,muebles,"consolas, recibidores y tocadores",2019-02-01,200,0.32,691,5,1.6,0.0,0.0,0.0,0.0,0.0
3967,51148,muebles,"consolas, recibidores y tocadores",2019-03-12,300,0.27,884,4,1.07,0.0,0.0,0.0,0.0,0.0
3968,51148,muebles,"consolas, recibidores y tocadores",2019-03-08,300,0.22,1206,1,0.22,0.0,0.0,0.0,0.0,0.0
3969,51148,muebles,"consolas, recibidores y tocadores",2019-02-03,200,0.24,685,6,1.46,0.0,0.0,0.0,0.0,0.0
3970,51148,muebles,"consolas, recibidores y tocadores",2019-01-02,200,0.4,305,7,2.77,0.0,0.0,0.0,0.0,0.0
3971,51148,muebles,"consolas, recibidores y tocadores",2018-11-04,200,0.09,611,8,0.74,0.0,1.0,0.0,0.0,0.0
3972,51148,muebles,"consolas, recibidores y tocadores",2019-01-03,200,0.34,344,4,1.38,0.0,0.0,0.0,0.0,0.0
3973,51148,muebles,"consolas, recibidores y tocadores",2019-03-15,300,0.34,429,5,1.68,0.0,0.0,0.0,0.0,0.0
3974,51148,muebles,"consolas, recibidores y tocadores",2018-10-20,200,0.06,710,6,0.39,0.0,0.0,0.0,0.0,0.0
3975,51148,muebles,"consolas, recibidores y tocadores",2019-01-26,200,0.37,724,5,1.86,0.0,0.0,0.0,0.0,0.0
3976,51148,muebles,"consolas, recibidores y tocadores",2019-03-07,300,0.22,1090,9,1.99,0.0,0.0,0.0,0.0,0.0
3977,51148,muebles,"consolas, recibidores y tocadores",2019-01-04,200,0.15,538,3,0.46,0.0,0.0,0.0,0.0,0.0
3978,51148,muebles,"consolas, recibidores y tocadores",2018-11-18,200,0.21,5397,28,5.75,1.0,2.05,198.0,403.29,34.43
3979,51148,muebles,"consolas, recibidores y tocadores",2019-01-21,200,0.24,1230,11,2.63,0.0,0.0,0.0,0.0,0.0
3980,51148,muebles,"consolas, recibidores y tocadores",2019-03-06,200,0.22,310,3,0.65,0.0,0.0,0.0,0.0,0.0
3981,51148,muebles,"consolas, recibidores y tocadores",2019-01-07,200,0.3,1472,16,4.78,0.0,0.85,0.0,173.34,0.0
3982,51148,muebles,"consolas, recibidores y tocadores",2018-11-06,200,0.14,846,6,0.81,0.0,0.0,0.0,0.0,0.0
3983,51148,muebles,"consolas, recibidores y tocadores",2019-01-11,200,0.23,1193,9,2.05,0.0,0.0,0.0,0.0,0.0
3984,51148,muebles,"consolas, recibidores y tocadores",2018-10-17,200,0.14,597,6,0.81,0.0,0.0,0.0,0.0,0.0
3985,51148,muebles,"consolas, recibidores y tocadores",2018-12-13,200,0.31,348,4,1.25,0.0,0.0,0.0,0.0,0.0
3986,51148,muebles,"consolas, recibidores y tocadores",2018-12-04,200,0.25,375,3,0.74,0.0,0.0,0.0,0.0,0.0
